date,original_title,parody_title,setup,punchline,humor_lesson,disclaimer,source_url
2025-01-23,"뉴욕증시, 파월이 되살린 금리인하 기대에 3대지수 1%대↑(종합)",파월 한마디에 1조 증발→복구!,"9호선 출근길, 파월 발언 뉴스보고 급하게 증권앱 켰다",나: (속마음) '파월아... 너만 믿는다...' 옆자리 아줌마: '뭘 그리 간절히 봐?' 나: '인생이요...',연준 의장의 한마디가 전 세계를 움직인다. 파월보다 내 통장 잔고가 더 중요하지만 말이다.,"면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250823006151075
2025-01-27,"비트코인, 파월 금리인하 가능성 시사에 급반등…11만6천달러대",파월이 금리 내린다고? 비트코인 왜 뛰지?,점심시간 동료들이 '비트코인이 갑자기 11만6천달러 됐다'며 난리다.,친구: '파월이 금리 내려서 비트코인이 올랐대' 나: '그게 무슨 상관인데?' 친구: '나도 모르겠어...',경제 뉴스의 절반은 '○○ 때문에 △△했다'는 추측이다. 진짜 이유는 시장만이 안다.,"면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250823000600091
2025-08-25,"시총 2위 이더리움, 사상 첫 4천900달러 돌파…5천달러도 넘을까",4900달러 vs 49만원! 이더리움 격차,퇴근 후 집에서 이더리움 4900달러 뉴스 보며 내 잔고와 비교했다,카톡 단체방: '이더리움 5000달러 간다!' → 내가 조용히 입력: '내 월급도 500만원 갔으면...',남의 돈은 천문학적으로 느껴지고 내 돈은 현실적으로 아프다. 비교는 독이지만 동기부여는 된다.,"면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250825002300091
2025-01-25,"이더리움, 되살아난 금리인하 가능성에 14%↑…'사상 최고가'(종합2보)",카페서 이더리움 보다 라떼값 먼저,주말 카페에서 '이더리움 사상최고가' 뉴스를 보며 투자 고민에 빠졌다.,기자: '투자 계획이 있으신가요?' 나: '네... 일단 아메리카노부터 아이스로 바꿔볼게요',큰 기회를 놓치는 건 작은 습관부터 바꾸지 못해서다. 라떼값 아껴야 투자금도 모인다.,"면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250823000652091
2025-01-25,"삼성전자, 3분기 반등하나…증권가, 잇단 호재에 목표가 상향",화장실서 삼성 차트 보다 걸렸다,회사 화장실에서 몰래 삼성전자 차트 보는데 부장님이 들어오셨다.,부장님: '뭐하는 거야?' 나: '이건... 업무 관련 자료입니다!' 부장님: '우리 회사 제조업 아닌데?',"투자는 언제 어디서나 할 수 있지만, 때와 장소는 가려야 한다. 특히 화장실에서는 말이다.","면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250822131200008
2025-01-28,"월스트리트, 美 엔비디아 실적 앞두고 목표가 잇따라 상향","새벽 3시, 엔비디아 실적 대기하는 썰",새벽 3시 잠에서 깨어 미국 증시 확인하다 엔비디아 실적 발표 임박 소식을 봤다.,나: (토니 스타크 톤) '금요일 실적 발표... 이게 바로 어벤져스급 이벤트구나' 와이프: '또 중얼거려?',투자자의 밤은 길다. 시차 때문에 미국 시간에 맞춰 사는 사람들의 숨은 노고를 인정하자.,"면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250823002000091
2025-01-25,[마켓뷰] '비둘기' 파워에 힘 받을까…한미 정상회담에도 촉각,파월 45분 연설로 코스피 2600 터치!,출근길 지하철에서 '파월 비둘기 발언' 뉴스 보자마자 손목이 근질거렸다.,나: (속마음) '이번엔 진짜 대박인가?' 앞자리 아저씨 폰 화면: '매도 주문 넣기' 나: '역시 고수는 다르네...',연준 의장 한 마디에 일희일비하는 것보다 꾸준한 분할매수가 답이다. 파월 의존증을 조심하자.,"면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250825015000008
2025-08-22,"코스피, 저가매수·한미정상회담 기대에 이틀 연속 상승(종합)","코스피 2600 돌파, 누가 샀길래?",점심시간 식당에서 동료가 '코스피 2600 넘었다며?' 하자 모두가 고개를 돌렸다.,아버지: '주식 좀 샀니?' 나: '조금만요...' 아버지: '얼마나?' 나: '...집값의 반 정도요',상승장에서는 모든 사람이 투자 천재가 된다. 진짜 실력은 하락장에서 드러난다는 걸 잊지 말자.,"면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250822125500008
2025-08-25,"'효자종목' 방산주, 러-우크라 종전 가능성에 이달 시총 '뚝'","방산주 상반기 vs 8월, 극과 극!",퇴근 후 집에서 한화시스템 차트 보며 상반기와 8월을 비교해봤다.,카톡 투자방: '방산주 왜 이래?' → 내 댓글: '평화가 올 것 같으니까 무기주가 떨어지네 ㅋㅋ 아이러니 갑',전쟁 나면 방산주 오르고 평화 오면 떨어진다. 세상이 좋아질수록 내 수익률은 나빠지는 모순이다.,"면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250822167000008
2025-01-27,10억 초과 코인 보유자 1만명 넘었다…20대도 137명,카페 알바생이 10억 코인러???,주말 카페에서 투자 고민하던 중 옆테이블 20대가 '10억 넘었다'며 전화받고 있다.,기자: '젊은 투자자들 비결이 뭔가요?' 알바생: '아... 도지코인 100원 때 용돈으로 샀어요...',코인계의 진리: 용돈으로 장난삼아 산 게 월급보다 많아지는 순간이 온다. 운빨도 실력이다.,"면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250822131100002
2025-01-23,우리銀 24억원 금융사고…'외부인이 담보물 임의 매각'(종합),우리은행 24억 증발! 담보물 어디감?,회사 화장실에서 몰래 우리은행 뉴스 보는데 24억 사라진 기사가 떴다.,나: (광고 톤) '우리은행 24억 사라짐! 고객님의 예금은 안전합니다!' 옆 칸: '뭐 광고하는 거야?',은행 사고는 남 일 같지만 내 통장 잔고는 내가 지켜야 한다. 분산투자가 답이다.,"면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250822159551002
2025-01-25,"'美정부 우군' 인텔, 정상화길 걷나…韓업체에도 '지분참여' 눈독?","새벽 4시, 인텔 뉴스에 잠이 깼다",새벽에 해외 증시 확인하다 인텔에 미국 정부가 최대주주 된다는 뉴스를 봤다.,나: (범죄도시 마동석 톤) '야... 정부가 주주 되면 망할 일은 없겠네?' 핸드폰: '배터리 부족 알림',정부가 개입하면 망하기 어렵다는 게 반도체의 법칙이다. 하지만 수익률은 보장 못한다는 것도 법칙이다.,"면책조항:패러디/특정기관,개인과 무관/투자조언아님/재미목적",https://www.yna.co.kr/view/AKR20250823022100091
